class,elements,total_time,threads,write_level
SynchronizedRandomAccessList,350,1451017195,10,4
CopyOnWriteArrayList,350,1710221267,1,4
CopyOnWriteArrayList,350,8114954740,4,4
CopyOnWriteArrayList,350,13573978226,7,4
CopyOnWriteArrayList,350,27140692832,10,4
ConcurrentHashMap,400,3345178,1,4
ConcurrentHashMap,400,1483371,4,4
ConcurrentHashMap,400,2387287,7,4
ConcurrentHashMap,400,6704614,10,4
SynchronizedMap,400,419493,1,4
SynchronizedMap,400,1727157,4,4
SynchronizedMap,400,2220392,7,4
SynchronizedMap,400,7354654,10,4
SynchronizedRandomAccessList,400,165184227,1,4
SynchronizedRandomAccessList,400,685894867,4,4
SynchronizedRandomAccessList,400,1185957438,7,4
SynchronizedRandomAccessList,400,1737604587,10,4
CopyOnWriteArrayList,400,2018869081,1,4
CopyOnWriteArrayList,400,9866254072,4,4
CopyOnWriteArrayList,400,16631818854,7,4
CopyOnWriteArrayList,400,27555329128,10,4
ConcurrentHashMap,450,514578,1,4
ConcurrentHashMap,450,1538469,4,4
ConcurrentHashMap,450,2585360,7,4
ConcurrentHashMap,450,28406781,10,4
SynchronizedMap,450,480957,1,4
SynchronizedMap,450,2049782,4,4
SynchronizedMap,450,2761367,7,4
SynchronizedMap,450,5818835,10,4
SynchronizedRandomAccessList,450,10111098258,1,4
SynchronizedRandomAccessList,450,813769264,4,4
SynchronizedRandomAccessList,450,1428793242,7,4
SynchronizedRandomAccessList,450,2102521130,10,4
CopyOnWriteArrayList,450,2330713446,1,4
CopyOnWriteArrayList,450,11487835410,4,4
CopyOnWriteArrayList,450,18078651251,7,4
CopyOnWriteArrayList,450,31620975988,10,4
ConcurrentHashMap,500,641769,1,4
ConcurrentHashMap,500,1978931,4,4
ConcurrentHashMap,500,3027554,7,4
ConcurrentHashMap,500,3300170,10,4
SynchronizedMap,500,442023,1,4
SynchronizedMap,500,1898403,4,4
SynchronizedMap,500,3598066,7,4
SynchronizedMap,500,4395401,10,4
SynchronizedRandomAccessList,500,12146865429,1,4
SynchronizedRandomAccessList,500,946653563,4,4
SynchronizedRandomAccessList,500,1667556314,7,4
SynchronizedRandomAccessList,500,2601029676,10,4
CopyOnWriteArrayList,500,3060280478,1,4
CopyOnWriteArrayList,500,12903850469,4,4
